name,doresal/ventral,anterior/posterior,left/right,sex,sub/family,genus,species,subspecies,name,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4
JM02.1539,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1539-v_Ant_d,945840.0,775.8417,862.0,-8.9493,171290534968.0,93171316749862.0,5.51816209955772e+16,0.49368999999999996,0.53577,0.57015
JM02.1539,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1539-v_Ant_g,953102.0,774.4198,856.0,-21.1149,173314149616.0,94428559136654.0,5.60224474375987e+16,0.49817,0.54056,0.57522
JM02.1734,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.1734-d_Ant_d,985494.0,768.3079,855.0,-15.9885,172587607832.0,92655577755438.0,5.41946435046002e+16,0.48945,0.53183,0.56638
JM02.1734,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.1734-d_Ant_g,978320.0,763.0058,849.0,-35.7778,170674126057.0,91254319432585.0,5.3132202002281e+16,0.49196999999999996,0.53417,0.5686100000000001
JM02.1734,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.1734-v_Ant_d,979680.0,763.6953,849.0,-40.433,171478306098.0,91803627809526.0,5.35160895569003e+16,0.49278,0.535,0.56943
JM02.1734,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.1734-v_Ant_g,985497.0,767.8086,854.0,-21.6135,173023199546.0,92924012138202.0,5.43613739713207e+16,0.49063999999999997,0.5329699999999999,0.56748
JM02.1942,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1942-d_Ant_d,995859.0,793.414,882.0,-21.5293,191678330116.0,107119208226840.0,6.51148954809724e+16,0.49742,0.5392100000000001,0.57333
JM02.1942,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1942-d_Ant_g,666848.0,580.5168,527.0,153.4414,85530253297.0,37002145246829.0,1.7043541085477e+16,0.67957,0.72375,0.7587
JM02.1942,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1942-v_Ant_d,667593.0,580.3698,528.0,151.6081,86444285542.0,37516689181182.0,1.7330544380123e+16,0.68152,0.72544,0.76022
JM02.1942,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1942-v_Ant_g,996792.0,793.4043,882.0,-21.5771,191147460080.0,106694329514182.0,6.47840647631825e+16,0.49649,0.53832,0.5724600000000001
JM02.2055,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.2055-d_Ant_d,1001362.0,784.2289,863.0,-38.1917,183866969613.0,100803797508969.0,6.009033154771e+16,0.49653,0.53904,0.5735100000000001
JM02.2055,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.2055-d_Ant_g,1012996.0,798.6605,883.0,-42.7299,194900452607.0,109107920764743.0,6.6387666780677e+16,0.49675,0.53883,0.57301
JM02.2055,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.2055-v_Ant_d,1014086.0,799.373,884.0,18.4458,195833242750.0,109797590306116.0,6.69045097594323e+16,0.49711000000000005,0.5391600000000001,0.57331
JM02.2055,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.2055-v_Ant_g,1001759.0,784.0572,862.0,-37.1816,183161962115.0,100268931753155.0,5.96840895768228e+16,0.49605,0.53863,0.57315
JM02.2140,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.2140-d_Ant_d,1285140.0,878.5253,967.0,8.05,301559717004.0,185968808731804.0,1.24568788453126e+17,0.5009399999999999,0.54292,0.57702
JM02.2140,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.2140-d_Ant_g,1298045.0,881.6457,981.0,0.76407,311002197061.0,193381864791935.0,1.30685519660121e+17,0.49896,0.5403899999999999,0.5742
JM02.2140,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.2140-v_Ant_d,1303017.0,882.5556,982.0,-0.56365,312681300415.0,194548343910901.0,1.31529101966855e+17,0.49883999999999995,0.54023,0.57399
