,bikeid,HarvestTime,id,name,max,min,bikeid,battery,ebikestateid,name
326,94,2021-04-30 00:20:02,1,Perfect,100,60,94,66,2,Normal
327,95,2021-04-30 00:20:02,2,Good,59,20,95,45,2,Normal
328,96,2021-04-30 00:20:02,1,Perfect,100,60,96,70,2,Normal
329,99,2021-04-30 00:20:02,2,Good,59,20,99,47,2,Normal
330,102,2021-04-30 00:20:02,1,Perfect,100,60,102,87,2,Normal
331,103,2021-04-30 00:20:02,1,Perfect,100,60,103,65,2,Normal
332,104,2021-04-30 00:20:02,1,Perfect,100,60,104,81,2,Normal
333,106,2021-04-30 00:20:02,1,Perfect,100,60,106,80,2,Normal
334,111,2021-04-30 00:20:02,1,Perfect,100,60,111,68,2,Normal
335,114,2021-04-30 00:20:02,1,Perfect,100,60,114,80,2,Normal
336,116,2021-04-30 00:20:02,2,Good,59,20,116,44,2,Normal
337,117,2021-04-30 00:20:02,2,Good,59,20,117,41,2,Normal
338,120,2021-04-30 00:20:02,2,Good,59,20,120,47,2,Normal
339,124,2021-04-30 00:20:02,1,Perfect,100,60,124,77,5,Laying on the ground
340,5,2021-04-30 00:25:02,1,Perfect,100,60,5,70,2,Normal
341,6,2021-04-30 00:25:02,1,Perfect,100,60,6,62,2,Normal
342,7,2021-04-30 00:25:02,1,Perfect,100,60,7,66,2,Normal
343,8,2021-04-30 00:25:02,1,Perfect,100,60,8,68,2,Normal
344,9,2021-04-30 00:25:02,1,Perfect,100,60,9,75,2,Normal
345,10,2021-04-30 00:25:02,1,Perfect,100,60,10,72,2,Normal
346,12,2021-04-30 00:25:02,1,Perfect,100,60,12,65,2,Normal
347,13,2021-04-30 00:25:02,1,Perfect,100,60,13,77,2,Normal
348,14,2021-04-30 00:25:02,2,Good,59,20,14,46,2,Normal
349,16,2021-04-30 00:25:02,4,Dead,0,0,16,0,2,Normal
350,17,2021-04-30 00:25:02,2,Good,59,20,17,48,2,Normal
351,18,2021-04-30 00:25:02,2,Good,59,20,18,47,2,Normal
352,19,2021-04-30 00:25:02,1,Perfect,100,60,19,80,2,Normal
353,20,2021-04-30 00:25:02,1,Perfect,100,60,20,76,2,Normal
354,21,2021-04-30 00:25:02,1,Perfect,100,60,21,77,2,Normal
355,22,2021-04-30 00:25:02,1,Perfect,100,60,22,67,2,Normal
356,25,2021-04-30 00:25:02,4,Dead,0,0,25,0,2,Normal
357,26,2021-04-30 00:25:02,1,Perfect,100,60,26,88,2,Normal
358,27,2021-04-30 00:25:02,2,Good,59,20,27,53,2,Normal
359,30,2021-04-30 00:25:02,1,Perfect,100,60,30,67,2,Normal
360,31,2021-04-30 00:25:02,2,Good,59,20,31,42,2,Normal
361,33,2021-04-30 00:25:02,1,Perfect,100,60,33,60,2,Normal
362,35,2021-04-30 00:25:02,2,Good,59,20,35,47,2,Normal
363,41,2021-04-30 00:25:02,1,Perfect,100,60,41,82,2,Normal
364,42,2021-04-30 00:25:02,1,Perfect,100,60,42,77,2,Normal
365,43,2021-04-30 00:25:02,1,Perfect,100,60,43,81,2,Normal
366,44,2021-04-30 00:25:02,4,Dead,0,0,44,0,2,Normal
367,45,2021-04-30 00:25:02,1,Perfect,100,60,45,80,2,Normal
