"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2013","Wexford","State=100","93.9"
"Index of Disposable Income per Person","2013","Waterford","State=100","97.3"
"Index of Disposable Income per Person","2013","South-West","State=100","98.3"
"Index of Disposable Income per Person","2013","Cork","State=100","100.9"
"Index of Disposable Income per Person","2013","Kerry","State=100","88.9"
"Index of Disposable Income per Person","2013","Eastern and Midland","State=100","105.2"
"Index of Disposable Income per Person","2013","Dublin","State=100","113"
"Index of Disposable Income per Person","2013","Mid-East","State=100","96.5"
"Index of Disposable Income per Person","2013","Kildare","State=100","99.3"
"Index of Disposable Income per Person","2013","Louth","State=100","94.1"
"Index of Disposable Income per Person","2013","Meath","State=100","94.4"
"Index of Disposable Income per Person","2013","Wicklow","State=100","97.3"
"Index of Disposable Income per Person","2013","Midland","State=100","90.4"
"Index of Disposable Income per Person","2013","Laois","State=100","92.3"
"Index of Disposable Income per Person","2013","Longford","State=100","91.4"
"Index of Disposable Income per Person","2013","Offaly","State=100","86.8"
"Index of Disposable Income per Person","2013","Westmeath","State=100","91.3"
"Index of Disposable Income per Person","2014","State","State=100","100"
"Index of Disposable Income per Person","2014","Northern and Western","State=100","88.1"
"Index of Disposable Income per Person","2014","Border","State=100","85.1"
"Index of Disposable Income per Person","2014","Leitrim","State=100","91.6"
"Index of Disposable Income per Person","2014","Sligo","State=100","92.4"
"Index of Disposable Income per Person","2014","Cavan","State=100","87.9"
"Index of Disposable Income per Person","2014","Donegal","State=100","79.5"
"Index of Disposable Income per Person","2014","Monaghan","State=100","85.6"
"Index of Disposable Income per Person","2014","West","State=100","90.7"
"Index of Disposable Income per Person","2014","Galway","State=100","93.2"
"Index of Disposable Income per Person","2014","Mayo","State=100","88.1"
"Index of Disposable Income per Person","2014","Roscommon","State=100","85.9"
"Index of Disposable Income per Person","2014","Southern","State=100","97.8"
"Index of Disposable Income per Person","2014","Mid-West","State=100","99.1"
"Index of Disposable Income per Person","2014","Clare","State=100","89.6"
"Index of Disposable Income per Person","2014","Limerick","State=100","107.3"
"Index of Disposable Income per Person","2014","Tipperary","State=100","96.1"
"Index of Disposable Income per Person","2014","South-East","State=100","96.8"
"Index of Disposable Income per Person","2014","Carlow","State=100","98.4"
"Index of Disposable Income per Person","2014","Kilkenny","State=100","94.3"
"Index of Disposable Income per Person","2014","Wexford","State=100","95.4"
