Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division","Robbery, extortion and hijacking offences",Number,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division",Burglary and related offences,Number,4,3,4,6,0,3,3,5,5,8,4,2,10,2,7,4,0
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division",Theft and related offences,Number,4,5,4,5,7,8,7,10,14,5,9,15,4,10,3,2,1
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division","Fraud, deception and related offences",Number,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division",Controlled drug offences,Number,0,1,1,0,0,4,3,0,1,1,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division",Damage to property and to the environment,Number,1,1,6,2,2,6,3,4,8,4,5,6,4,1,2,0,3
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division",Public order and other social code offences,Number,6,4,5,1,2,5,9,2,3,3,2,3,2,0,1,3,0
Recorded Crime Offences Under Reservation,"32307 Milford, Co Cork, Cork North Division","Offences against government, justice procedures and organisation of crime",Number,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,23,13,18,19,24,23,10,13,12,10,13,11,25,14,25,13,25
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Dangerous or negligent acts,Number,9,13,6,15,8,8,12,9,8,2,4,2,4,7,5,4,11
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Kidnapping and related offences,Number,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Burglary and related offences,Number,9,3,3,7,2,4,3,2,4,2,2,6,5,5,4,5,1
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Theft and related offences,Number,18,13,15,15,20,22,16,14,11,16,15,5,18,15,6,5,7
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division","Fraud, deception and related offences",Number,0,0,5,0,2,5,4,1,1,2,2,0,1,0,1,1,2
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Controlled drug offences,Number,7,4,0,2,1,1,1,0,0,2,2,2,5,5,1,3,6
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Weapons and Explosives Offences,Number,0,0,0,2,1,2,1,1,0,0,1,1,1,2,1,1,1
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Damage to property and to the environment,Number,17,12,16,11,31,17,25,7,6,7,8,12,6,5,10,4,10
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division",Public order and other social code offences,Number,76,84,106,72,36,60,30,26,29,29,18,9,15,26,27,19,20
Recorded Crime Offences Under Reservation,"12408 Milford, Co Donegal, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,2,2,2,2,1,6,0,2,0,1,2,0,0,1,4,1,1
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division","Attempts/threats to murder, assaults, harassments and related offences",Number,14,2,8,13,14,5,15,18,19,18,17,15,11,6,15,25,16
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Dangerous or negligent acts,Number,9,7,4,13,16,5,7,9,10,8,9,2,4,8,5,13,8
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Burglary and related offences,Number,11,5,17,6,6,5,8,8,13,8,8,12,8,1,2,7,4
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Theft and related offences,Number,25,32,21,24,25,23,31,23,38,19,31,35,16,12,13,17,12
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division","Fraud, deception and related offences",Number,3,0,8,4,2,1,1,2,1,2,1,2,1,5,0,1,4
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Controlled drug offences,Number,30,3,222,18,7,5,5,3,14,13,8,4,14,7,9,17,24
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Weapons and Explosives Offences,Number,0,1,0,1,1,0,2,2,1,0,1,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Damage to property and to the environment,Number,11,10,13,21,17,23,29,11,14,22,19,11,7,7,6,11,6
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division",Public order and other social code offences,Number,29,13,31,41,26,26,33,32,20,34,30,10,10,12,6,16,10
Recorded Crime Offences Under Reservation,"33406 Millstreet, Co. Cork, Cork West Division","Offences against government, justice procedures and organisation of crime",Number,3,0,0,0,1,1,3,2,0,1,2,2,0,1,3,6,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,0,0,2,2,2,2,3,1,2,2,0,1,0,4,1,3,1
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Dangerous or negligent acts,Number,3,2,5,6,2,5,7,4,5,4,0,5,3,3,5,2,1
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Burglary and related offences,Number,1,3,0,1,2,3,7,4,8,4,1,4,5,1,3,2,1
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Theft and related offences,Number,3,7,3,9,10,11,18,9,7,9,6,7,11,5,2,5,5
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division","Fraud, deception and related offences",Number,0,0,1,3,1,0,1,1,3,2,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Controlled drug offences,Number,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Damage to property and to the environment,Number,3,7,2,1,0,2,6,2,3,1,1,2,2,1,2,0,1
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division",Public order and other social code offences,Number,5,2,2,0,0,0,2,0,1,6,0,2,0,0,1,2,0
Recorded Crime Offences Under Reservation,"23808 Milltown, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,0,1,0,0,1,1,1,0,1,0,0,0,2,1,0,0
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division","Attempts/threats to murder, assaults, harassments and related offences",Number,7,13,3,16,7,12,10,8,23,8,5,7,13,3,11,7,12
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Dangerous or negligent acts,Number,8,10,3,8,13,16,4,8,5,5,6,4,5,8,9,6,3
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Kidnapping and related offences,Number,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Burglary and related offences,Number,10,0,7,11,9,18,16,15,9,11,13,7,10,8,8,8,6
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Theft and related offences,Number,32,27,46,29,18,22,36,25,33,25,17,14,11,9,22,23,15
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division","Fraud, deception and related offences",Number,0,0,1,1,2,4,1,1,0,1,1,0,1,2,4,2,7
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Controlled drug offences,Number,12,2,4,5,7,4,5,9,9,5,8,12,5,5,6,4,5
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Weapons and Explosives Offences,Number,0,3,0,1,0,2,1,3,1,0,0,0,0,1,0,1,1
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Damage to property and to the environment,Number,27,24,22,32,7,39,22,17,9,17,23,12,12,8,11,11,11
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division",Public order and other social code offences,Number,19,25,17,23,24,10,20,21,26,17,15,22,13,18,15,10,13
Recorded Crime Offences Under Reservation,"21212 Miltown Malbay, Clare Division","Offences against government, justice procedures and organisation of crime",Number,7,0,0,4,8,3,2,1,1,3,1,2,3,0,0,1,0
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division","Attempts/threats to murder, assaults, harassments and related offences",Number,42,24,15,17,17,27,23,12,11,26,26,17,25,21,24,15,23
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Dangerous or negligent acts,Number,27,28,15,27,21,22,34,18,20,16,8,25,21,21,26,22,32
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Kidnapping and related offences,Number,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,2,0
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Burglary and related offences,Number,28,11,21,23,22,23,18,16,39,15,32,34,31,26,26,14,14
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Theft and related offences,Number,69,56,55,55,44,76,44,52,55,59,66,75,67,44,47,34,57
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division","Fraud, deception and related offences",Number,1,9,3,19,11,11,7,9,6,9,10,10,10,9,12,7,10
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Controlled drug offences,Number,15,7,31,35,27,49,29,64,53,90,98,138,114,72,70,95,95
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Weapons and Explosives Offences,Number,1,2,1,6,4,1,1,1,3,3,4,1,4,4,4,3,4
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Damage to property and to the environment,Number,43,40,31,47,38,60,35,48,33,23,35,28,28,8,35,17,24
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division",Public order and other social code offences,Number,80,75,121,71,91,105,65,57,60,47,26,45,34,48,34,42,42
Recorded Crime Offences Under Reservation,"32206 Mitchelstown, Cork North Division","Offences against government, justice procedures and organisation of crime",Number,3,6,9,20,13,8,3,2,0,2,1,3,1,0,4,3,3
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division","Attempts/threats to murder, assaults, harassments and related offences",Number,8,13,7,16,13,8,10,17,7,13,7,9,4,12,5,17,11
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Dangerous or negligent acts,Number,6,9,18,20,22,22,31,10,12,10,5,4,6,4,10,10,6
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division","Robbery, extortion and hijacking offences",Number,2,0,2,4,1,0,1,1,0,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Burglary and related offences,Number,31,18,31,24,31,39,25,19,24,23,28,22,16,13,16,7,20
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Theft and related offences,Number,29,39,63,48,55,26,28,30,38,35,28,20,27,15,17,8,10
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division","Fraud, deception and related offences",Number,2,0,1,1,8,3,1,4,3,7,8,2,2,2,5,8,1
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Controlled drug offences,Number,4,2,1,0,3,10,7,6,7,5,6,4,3,5,3,3,3
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Weapons and Explosives Offences,Number,2,1,1,0,2,0,2,2,4,1,0,2,3,0,0,4,0
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Damage to property and to the environment,Number,11,12,36,20,35,20,41,26,8,18,21,17,16,12,15,5,11
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division",Public order and other social code offences,Number,10,19,27,15,16,14,50,27,23,8,14,6,8,9,14,15,13
Recorded Crime Offences Under Reservation,"44106 Moate, Westmeath Division","Offences against government, justice procedures and organisation of crime",Number,1,0,0,4,0,0,1,1,0,1,0,5,0,1,4,1,1
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division","Attempts/threats to murder, assaults, harassments and related offences",Number,16,12,24,13,10,18,25,13,14,6,9,16,10,6,15,12,21
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Dangerous or negligent acts,Number,14,13,22,34,20,19,13,8,8,8,3,15,6,4,10,7,8
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Kidnapping and related offences,Number,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Burglary and related offences,Number,19,16,16,15,21,27,26,20,41,31,16,20,23,14,11,19,10
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Theft and related offences,Number,28,38,33,35,59,35,48,31,27,26,41,22,27,17,17,21,12
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division","Fraud, deception and related offences",Number,5,1,1,2,6,3,4,1,4,1,0,2,5,1,4,1,3
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Controlled drug offences,Number,6,3,0,1,5,5,3,3,4,0,2,2,8,2,2,2,11
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Weapons and Explosives Offences,Number,0,0,1,0,2,1,5,4,1,2,2,2,1,2,3,3,5
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Damage to property and to the environment,Number,19,24,41,31,34,22,30,28,24,15,17,18,29,20,18,23,39
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division",Public order and other social code offences,Number,34,104,184,53,44,45,71,44,25,9,7,10,18,10,16,15,21
Recorded Crime Offences Under Reservation,"13211 Mohill, Sligo/Leitrim Division","Offences against government, justice procedures and organisation of crime",Number,0,2,1,6,1,4,2,0,3,6,1,5,0,3,0,2,3
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division","Attempts/threats to murder, assaults, harassments and related offences",Number,112,97,135,121,183,141,82,169,143,103,65,86,89,130,120,132,146
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Dangerous or negligent acts,Number,140,166,188,229,218,176,122,94,85,65,59,59,49,71,85,80,72
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Kidnapping and related offences,Number,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division","Robbery, extortion and hijacking offences",Number,1,2,0,1,1,1,1,2,1,2,2,1,1,2,3,3,1
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Burglary and related offences,Number,59,35,32,40,61,35,44,44,40,49,49,40,25,39,50,37,74
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Theft and related offences,Number,210,154,203,170,190,251,217,206,262,206,179,186,183,122,154,152,192
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division","Fraud, deception and related offences",Number,14,24,26,27,44,64,28,33,27,17,25,16,17,19,31,36,42
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Controlled drug offences,Number,15,38,60,54,76,88,39,74,37,58,72,47,31,38,43,54,58
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Weapons and Explosives Offences,Number,10,6,6,7,3,7,13,6,8,3,5,5,7,5,4,8,10
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Damage to property and to the environment,Number,132,132,167,151,195,149,120,145,141,95,70,90,112,126,100,132,126
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division",Public order and other social code offences,Number,237,360,376,303,348,339,269,377,349,217,224,222,167,279,343,449,475
Recorded Crime Offences Under Reservation,"11504 Monaghan, Cavan/Monaghan Division","Offences against government, justice procedures and organisation of crime",Number,45,36,46,38,30,47,34,49,36,21,19,28,46,83,44,57,60
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division","Attempts/threats to murder, assaults, harassments and related offences",Number,8,11,12,11,24,38,29,28,18,20,28,23,21,23,26,23,22
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Dangerous or negligent acts,Number,12,10,10,11,13,16,11,7,6,12,6,8,6,8,5,20,13
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division","Robbery, extortion and hijacking offences",Number,1,2,1,2,2,2,5,6,4,2,4,1,5,2,0,0,2
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Burglary and related offences,Number,29,29,49,42,40,55,37,50,34,43,40,48,30,15,29,26,22
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Theft and related offences,Number,60,38,46,47,67,104,74,77,79,112,141,106,98,75,60,50,42
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division","Fraud, deception and related offences",Number,1,4,3,3,6,6,3,3,7,8,4,7,2,3,8,4,8
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Controlled drug offences,Number,7,3,4,13,8,12,19,14,6,8,9,13,11,11,24,44,24
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Weapons and Explosives Offences,Number,0,1,3,1,1,3,3,2,1,2,1,3,3,1,3,2,1
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Damage to property and to the environment,Number,23,18,16,22,27,52,66,65,45,45,35,31,30,16,24,20,24
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division",Public order and other social code offences,Number,6,20,27,13,29,37,16,22,23,37,18,23,10,12,24,15,20
Recorded Crime Offences Under Reservation,"45105 Monasterevin, Kildare Division","Offences against government, justice procedures and organisation of crime",Number,1,0,1,1,1,6,1,5,1,2,0,1,0,1,1,5,5
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division","Attempts/threats to murder, assaults, harassments and related offences",Number,0,0,4,0,0,1,0,3,0,2,2,2,0,1,2,1,0
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Dangerous or negligent acts,Number,5,5,5,5,5,6,2,3,3,0,4,2,6,3,2,2,1
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Burglary and related offences,Number,5,4,9,9,13,7,10,1,5,4,4,2,2,4,0,0,6
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Theft and related offences,Number,5,4,4,5,8,5,5,14,3,2,3,8,10,5,9,7,13
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division","Fraud, deception and related offences",Number,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,1
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Controlled drug offences,Number,0,1,0,2,1,2,0,0,0,0,1,0,0,2,2,0,4
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Damage to property and to the environment,Number,2,6,1,3,2,0,1,5,1,0,0,4,3,2,3,2,5
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division",Public order and other social code offences,Number,3,10,2,0,1,2,7,6,4,1,2,3,5,2,0,0,1
Recorded Crime Offences Under Reservation,"51402 Moneygall, Tipperary Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,0,1,0,5,3,3,1,4,4,6,4,1,9,2,5,4,2
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Dangerous or negligent acts,Number,2,1,3,1,3,0,6,2,2,1,3,1,3,4,2,1,1
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Burglary and related offences,Number,1,2,3,4,2,6,7,2,3,9,2,4,8,0,3,9,4
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Theft and related offences,Number,0,2,3,5,5,6,10,2,4,6,5,3,4,1,1,9,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division","Fraud, deception and related offences",Number,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Controlled drug offences,Number,0,0,0,0,0,1,0,0,1,2,1,2,0,0,1,0,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Damage to property and to the environment,Number,1,1,0,1,0,7,2,2,1,1,2,2,2,0,2,2,8
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division",Public order and other social code offences,Number,1,2,3,39,15,6,11,2,0,6,0,2,0,1,0,2,1
Recorded Crime Offences Under Reservation,"23307 Monivea, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,2,1,1,3,7,10,7,12,5,3,8,4,6,1,12,5
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Dangerous or negligent acts,Number,3,3,4,3,8,7,7,10,5,6,7,2,2,4,3,4,3
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Burglary and related offences,Number,6,3,9,13,6,10,10,25,10,9,14,13,4,7,5,2,5
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Theft and related offences,Number,11,15,3,11,15,8,21,23,24,23,17,19,13,5,9,4,1
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division","Fraud, deception and related offences",Number,3,1,0,0,0,0,1,0,3,2,0,0,1,1,0,1,2
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Controlled drug offences,Number,4,1,1,1,2,5,7,4,4,5,1,5,1,1,2,5,6
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Weapons and Explosives Offences,Number,0,0,1,0,0,0,1,1,0,2,1,1,1,0,0,1,2
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Damage to property and to the environment,Number,1,4,8,6,8,6,23,14,23,11,3,5,11,0,9,8,4
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division",Public order and other social code offences,Number,3,1,5,2,6,16,13,11,23,10,8,9,8,7,7,5,6
Recorded Crime Offences Under Reservation,"53309 Mooncoin, Kilkenny/Carlow Division","Offences against government, justice procedures and organisation of crime",Number,1,2,1,1,5,0,0,1,1,1,0,0,0,0,1,4,1
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,6,1,6,8,15,9,8,6,3,8,5,10,5,7,2,5
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Dangerous or negligent acts,Number,14,6,5,19,8,7,7,10,9,6,3,9,6,3,6,6,7
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Burglary and related offences,Number,3,6,8,10,8,10,14,18,20,17,14,10,10,10,12,11,7
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Theft and related offences,Number,13,27,15,10,11,29,39,16,18,24,13,16,20,8,11,4,8
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division","Fraud, deception and related offences",Number,2,3,2,7,1,6,3,3,4,0,3,3,5,3,3,3,4
Recorded Crime Offences Under Reservation,"23108 Mountbellew, Galway Division",Controlled drug offences,Number,0,0,0,0,0,0,1,1,0,3,2,4,2,2,0,2,0
